AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2016,5467,Montebello,5,Antioquia,3758.0,Antioquia (ETC),1307,76.2,76.21,52.73,86.03,51.6,27.88,80.64,72.73,106.53,67.58,43.75,31.813000000000002,13.04,1.38,2.5,1.87,0.0,1.43,88.18,0.0,88.93,82.37,94.29,10.44,0.0,9.2,17.63,4.29,1.08,0.0,1.7,0.0,1.43
2018,70678,San Benito Abad,70,Sucre,3813.0,Sucre (ETC),6742,90.02,88.33,62.43,88.91,62.4,28.85,102.88,141.56,121.52,92.93,61.3,,,2.99,4.29,1.89,4.76,1.46,87.04,0.0,88.08,81.2,90.13,9.97,0.0,10.03,14.04,8.41,1.71,2.01,2.44,0.94,0.0
2014,73555,Planadas,73,Tolima,3815.0,Tolima (ETC),8469,81.36,89.35,59.08,73.48,76.37,54.34,91.05,79.3,124.06,76.15,41.85,26.97,22.12,7.8,6.37,7.24,9.17,8.28,89.5,0.0,90.08,87.16,89.9,2.69,0.0,2.68,3.67,1.82,0.53,0.0,0.74,0.39,0.0
2022,25269,Facatativá,25,Cundinamarca,10850.0,Facatativá,28773,85.47,85.15,67.65,80.33,77.88,48.9,93.34,88.62,91.4,100.57,86.23,,,5.02,5.13,4.59,6.26,2.77,87.91,0.51,90.69,82.33,91.2,7.07,0.51,4.72,11.42,6.03,6.67,0.43,5.47,10.2,4.11
2021,68190,Cimitarra,68,Santander,3.8080000000000003,Santander (ETC),7.361,92.6,92.6,53.07,88.99,79.03,48.55,103.31,81.23,107.88,110.63,87.8,,,5.8,3.55,5.77,6.5,5.12,91.06,0.44,90.5,90.45,92.21,3.14,0.44,3.73,3.05,2.67,2.12,0.22,2.01,3.09,0.81
2014,66594,Quinchía,66,Risaralda,3805.0,Risaralda (ETC),7805,75.03,84.73,56.93,81.57,65.11,52.32,88.55,58.13,87.14,104.93,75.46,24.81,7.14,2.25,1.76,0.74,3.93,2.92,97.58,0.0,99.26,96.07,95.69,0.17,0.0,0.0,0.0,1.4,1.29,0.0,1.17,1.62,1.4
2021,52696,Santa Bárbara,52,Nariño,3.798,Nariño (ETC),3.449,67.47,67.47,34.39,68.41,26.11,7.59,77.7,51.27,116.6,60.07,22.04,,,2.05,1.24,2.54,1.2,0.84,91.94,0.0,88.3,98.5,99.16,6.01,0.0,9.16,0.3,0.0,14.66,1.24,15.62,15.79,12.61
2013,13188,Cicuco,13,Bolívar,3767.0,Bolívar (ETC),2798,111.29,111.3,80.0,106.2,70.4,29.1,135.0,,153.0,125.1,79.4,54.03,77.78,1.18,1.53,0.89,1.61,0.87,96.91,0.0,95.96,97.32,99.13,1.91,0.0,3.15,1.07,0.0,1.97,3.06,2.45,1.07,0.0
2019,15837,Tuta,15,Boyacá,3769.0,Boyacá (ETC),1705,114.02,114.02,83.67,99.31,115.18,84.19,129.09,110.88,110.33,150.18,145.59,,,1.95,3.01,1.12,2.36,2.36,91.17,0.0,96.91,85.6,89.38,6.88,0.0,1.97,12.04,8.26,0.31,0.0,0.0,0.65,0.29
2021,85400,Támara,85,Casanare,3.825,Casanare (ETC),1.7,93.29,93.29,81.06,96.56,71.48,37.5,104.88,101.52,128.51,96.05,67.01,,,5.44,2.24,2.09,9.55,11.76,89.18,0.0,93.5,82.21,83.01,5.38,0.0,4.42,8.24,5.23,4.09,0.75,5.52,3.75,0.65
2018,25438,Medina,25,Cundinamarca,3785.0,Cundinamarca (ETC),1760,68.62,93.81,63.57,93.63,84.53,32.66,101.36,92.14,112.6,116.14,48.48,,,4.57,7.75,1.98,7.28,4.03,95.08,0.0,97.89,92.72,91.94,0.35,0.0,0.12,0.0,4.03,0.0,0.0,0.0,0.0,0.0
2015,44430,Maicao,44,La Guajira,3793.0,Maicao,43118,91.24,91.2,63.01,84.77,62.94,30.94,106.84,116.38,121.58,100.58,69.94,26.68,25.54,1.2,1.12,1.11,1.42,1.05,98.8,0.0,98.89,98.58,98.95,0.0,0.0,0.0,0.0,0.0,2.44,1.05,3.22,1.86,1.24
2016,27025,Alto Baudo,27,Chocó,3789.0,Chocó (ETC),11632,47.2,47.16,30.08,48.48,14.5,2.4,58.4,64.95,87.31,42.51,14.7,21.143,7.02,1.81,1.15,0.76,5.06,4.07,90.56,0.87,89.95,88.46,93.02,7.62,0.87,9.3,6.48,2.91,2.0,0.0,2.74,0.85,1.16
2012,54377,Labateca,54,Norte de Santander,3801.0,Norte de Santander (ETC),1574,75.35,75.4,54.1,84.8,59.7,27.4,86.0,78.8,101.4,84.1,60.0,29.06,2.94,6.26,5.22,5.0,7.92,8.26,92.59,0.0,94.67,89.18,90.91,1.15,0.0,0.33,2.9,0.83,1.23,0.0,1.5,1.58,0.0
2015,52390,La Tola,52,Nariño,3798.0,Nariño (ETC),3938,46.44,46.44,24.65,43.32,24.41,5.92,65.06,49.3,73.98,75.67,27.14,13.72,14.29,0.09,1.14,,,,99.91,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.0,0.0
2020,54673,San Cayetano,54,Norte de Santander,3801.0,Norte de Santander (ETC),1665,82.76,82.76,50.0,84.55,69.81,42.64,86.55,77.7,101.12,85.37,54.72,,,4.02,4.35,4.17,3.47,4.83,88.76,0.87,88.61,86.98,90.34,7.22,0.87,7.22,9.54,4.83,9.3,0.87,10.83,8.89,9.66
2017,5425,Maceo,5,Antioquia,3758.0,Antioquia (ETC),1311,132.6,132.57,93.81,128.21,106.96,59.73,150.04,113.27,162.64,164.97,108.6,23.962,30.0,6.11,3.91,6.13,7.11,4.17,91.61,0.0,91.33,90.02,95.24,2.28,0.0,2.54,2.88,0.6,10.1,3.13,11.1,11.84,4.17
2015,44279,Fonseca,44,La Guajira,3792.0,La Guajira (ETC),7921,115.68,115.65,83.76,109.43,93.37,54.8,126.34,160.22,134.8,123.82,86.22,28.21,11.11,3.05,2.93,2.5,4.46,1.35,96.94,0.0,97.5,95.54,98.54,0.01,0.0,0.0,0.0,0.11,6.04,,6.4,6.89,2.13
2016,19364,Jambaló,19,Cauca,3777.0,Cauca (ETC),4859,73.3,73.35,39.34,79.47,56.88,28.83,84.3,81.28,98.17,81.91,56.45,,74.29,2.44,0.58,0.66,4.6,6.25,92.03,0.0,94.49,88.46,84.25,5.54,0.0,4.84,6.94,9.5,0.38,0.0,0.61,0.25,0.0
2012,47570,Puebloviejo,47,Magdalena,3794.0,Magdalena (ETC),8823,73.37,73.4,49.1,68.9,54.7,26.3,85.3,84.4,95.8,83.3,57.9,25.94,45.45,1.96,4.38,2.2,0.68,2.35,96.58,2.03,95.4,99.27,97.65,1.46,2.03,2.4,0.05,0.0,2.03,,1.54,2.44,0.34
2014,68081,Barrancabermeja,68,Santander,3810.0,Barrancabermeja,39566,118.17,87.92,54.77,80.49,73.47,51.27,134.29,134.87,148.21,136.96,96.63,27.09,71.96,4.88,3.63,4.22,6.22,4.16,92.02,3.13,94.17,89.32,90.69,3.11,3.13,1.61,4.47,5.15,7.06,4.16,4.49,,4.11
2014,68468,Molagavita,68,Santander,3808.0,Santander (ETC),1108,75.27,87.88,61.11,89.53,72.42,53.15,85.65,43.37,90.74,100.52,65.6,25.47,0.0,1.46,2.78,0.79,2.22,1.14,98.18,0.0,98.69,97.47,98.86,0.36,0.0,0.52,0.32,0.0,1.46,0.0,0.0,3.16,2.27
2014,25518,Paime,25,Cundinamarca,3785.0,Cundinamarca (ETC),907,103.53,86.15,46.15,74.53,64.98,52.0,120.18,65.0,126.39,147.12,81.7,22.16,23.68,0.79,3.85,0.87,0.25,0.92,99.21,0.0,99.13,99.75,99.08,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.22,0.25,0.0
2015,23419,Los Córdobas,23,Córdoba,3781.0,Córdoba (ETC),6663,59.39,59.39,31.2,57.52,48.27,18.09,67.01,53.53,75.62,72.13,40.77,17.22,48.28,1.31,0.92,0.69,1.57,4.4,98.66,0.0,99.31,98.36,95.6,0.02,0.0,0.0,0.07,0.0,0.42,0.0,0.6,0.28,0.27
