Year,Month,Day,Hour,Temperature,Irradiance
2014,1,1,6,9.44,0
2014,1,1,7,11.87,99.09
2014,1,1,8,14.55,290.91
2014,1,1,9,17.81,492.71
2014,1,1,10,21.96,647.74
2014,1,1,11,23.67,681.32
2014,1,1,12,24.53,689.62
2014,1,1,13,24.94,633.41
2014,1,1,14,24.9,500.16
2014,1,1,15,24.09,317.09
2014,1,1,16,21.65,126.31
2014,1,1,17,17.91,9.15
2014,1,1,18,16.63,0
2014,1,1,19,15.82,0
2014,1,1,20,15.15,0
2014,1,1,21,14.62,0
2014,1,1,22,14.14,0
2014,1,1,23,13.69,0
2014,1,2,0,13.27,0
2014,1,2,1,12.91,0
2014,1,2,2,12.58,0
2014,1,2,3,12.27,0
2014,1,2,4,11.97,0
2014,1,2,5,11.67,0
2014,1,2,6,11.4,0
2014,1,2,7,13.66,85.8
2014,1,2,8,16.1,264.34
2014,1,2,9,19.46,447.77
2014,1,2,10,23.72,598.55
2014,1,2,11,25.25,599.76
2014,1,2,12,25.9,616.79
2014,1,2,13,26.21,584.85
2014,1,2,14,26.04,456.84
2014,1,2,15,25.22,275.56
2014,1,2,16,23.07,107.19
2014,1,2,17,19.83,8.73
2014,1,2,18,18.78,0
2014,1,2,19,18.04,0
2014,1,2,20,17.37,0
2014,1,2,21,16.72,0
2014,1,2,22,16.22,0
2014,1,2,23,15.51,0
2014,1,3,0,14.82,0
2014,1,3,1,14.17,0
2014,1,3,2,13.51,0
2014,1,3,3,12.86,0
2014,1,3,4,12.23,0
2014,1,3,5,11.62,0
2014,1,3,6,11.02,0
2014,1,3,7,12.63,68.7
2014,1,3,8,14.68,215.09
2014,1,3,9,17.87,376.64
2014,1,3,10,21.19,551.54
2014,1,3,11,22.22,546.2
2014,1,3,12,22.66,560.62
2014,1,3,13,22.83,526.16
2014,1,3,14,22.57,392.49
2014,1,3,15,21.82,238.17
2014,1,3,16,19.69,96.49
2014,1,3,17,16.17,8.34
2014,1,3,18,14.95,0
2014,1,3,19,14.14,0
2014,1,3,20,13.42,0
2014,1,3,21,12.76,0
2014,1,3,22,12.14,0
2014,1,3,23,11.57,0
2014,1,4,0,11.04,0
2014,1,4,1,10.51,0
2014,1,4,2,9.94,0
2014,1,4,3,9.37,0
2014,1,4,4,8.84,0
2014,1,4,5,8.3,0
2014,1,4,6,7.77,0
2014,1,4,7,9.74,66.7
2014,1,4,8,12.22,217.39
2014,1,4,9,15.37,377.05
2014,1,4,10,19.71,527.05
2014,1,4,11,21.51,604.21
2014,1,4,12,22.31,595.25
2014,1,4,13,22.67,556.98
2014,1,4,14,22.45,435.85
2014,1,4,15,21.42,268.65
2014,1,4,16,18.54,111.37
2014,1,4,17,15.02,9.38
2014,1,4,18,13.63,0
2014,1,4,19,12.72,0
2014,1,4,20,12,0
2014,1,4,21,11.38,0
2014,1,4,22,10.83,0
2014,1,4,23,10.47,0
2014,1,5,0,9.89,0
2014,1,5,1,9.22,0
2014,1,5,2,8.74,0
2014,1,5,3,8.33,0
2014,1,5,4,8.16,0
2014,1,5,5,7.91,0
2014,1,5,6,7.58,0
2014,1,5,7,9.41,67.48
2014,1,5,8,12.28,214.91
2014,1,5,9,15.2,374.7
2014,1,5,10,19.8,542.06
2014,1,5,11,22.15,545.38
2014,1,5,12,23.09,567.67
2014,1,5,13,23.62,524.64
2014,1,5,14,23.64,403.8
2014,1,5,15,22.85,246.34
2014,1,5,16,20.28,96.4
2014,1,5,17,17.3,8.95
2014,1,5,18,16.76,0
2014,1,5,19,16.62,0
2014,1,5,20,16.4,0
2014,1,5,21,15.85,0
2014,1,5,22,15.19,0
2014,1,5,23,14.6,0
2014,1,6,0,14.19,0
2014,1,6,1,13.88,0
2014,1,6,2,13.45,0
2014,1,6,3,13.05,0
2014,1,6,4,12.73,0
2014,1,6,5,12.48,0
2014,1,6,6,12.27,0
2014,1,6,7,13.36,48.97
2014,1,6,8,15.43,175.42
2014,1,6,9,18.48,292.47
2014,1,6,10,22.15,370.16
2014,1,6,11,23.51,414.93
2014,1,6,12,23.29,411.14
2014,1,6,13,22.47,368.76
2014,1,6,14,21.98,296.26
2014,1,6,15,21.74,180.85
2014,1,6,16,20.45,90.93
2014,1,6,17,17.78,8.66
2014,1,6,18,16.76,0
2014,1,6,19,16.12,0
2014,1,6,20,15.55,0
2014,1,6,21,15.1,0
2014,1,6,22,14.76,0
2014,1,6,23,14.46,0
2014,1,7,0,14.16,0
2014,1,7,1,13.68,0
2014,1,7,2,13.26,0
2014,1,7,3,12.98,0
2014,1,7,4,12.51,0
2014,1,7,5,12.2,0
2014,1,7,6,12.07,0
2014,1,7,7,14.07,50.62
2014,1,7,8,16.28,160.09
2014,1,7,9,19.65,285.52
2014,1,7,10,22.66,416.31
2014,1,7,11,23.8,494.7
2014,1,7,12,24.34,506.8
2014,1,7,13,24.48,403.04
2014,1,7,14,24.22,331.91
2014,1,7,15,23.4,213.14
2014,1,7,16,21.33,83.54
2014,1,7,17,17.58,8.76
2014,1,7,18,16.29,0
2014,1,7,19,15.42,0
2014,1,7,20,14.58,0
2014,1,7,21,13.79,0
2014,1,7,22,13.01,0
2014,1,7,23,12.28,0
2014,1,8,0,11.59,0
2014,1,8,1,10.94,0
